"METHOD_CONSTRUCTION_ID","BORE_HOLE_ID","WELL_ID","METHOD_CONSTRUCTION_CODE","OTHER_METHOD_CONSTRUCTION"
961500233,10022278,"1500233","1",
961500234,10022279,"1500234","1",
961500235,10022280,"1500235","1",
961500236,10022281,"1500236","1",
961500237,10022282,"1500237","1",
961500238,10022283,"1500238","1",
961500239,10022284,"1500239","1",
961500240,10022285,"1500240","1",
961500241,10022286,"1500241","1",
961500242,10022287,"1500242","1",
961500243,10022288,"1500243","1",
961500244,10022289,"1500244","1",
961500245,10022290,"1500245","1",
961500246,10022291,"1500246","1",
961500247,10022292,"1500247","1",
961500248,10022293,"1500248","1",
961500249,10022294,"1500249","1",
961500250,10022295,"1500250","1",
961500251,10022296,"1500251","1",
961500252,10022297,"1500252","1",
961500253,10022298,"1500253","1",
961500254,10022299,"1500254","1",
961500255,10022300,"1500255","1",
961500256,10022301,"1500256","7",
961500257,10022302,"1500257","7",
961500258,10022303,"1500258","1",
961500259,10022304,"1500259","1",
961500260,10022305,"1500260","1",
